Serial,Episode_Title,Image_URL,Description,Mode,Video_URL,Number,year,airdate,runtime,Visibility,Linked Series,Linked Episode
Doctor Who Confidential – Series 1,A New Dimension – Special,https://tardis.wiki/images/Tardis_images/5/5a/Doctor_Who_-_A_New_Dimension.jpg,"A special documentary broadcast immediately prior to Rose. While it didn’t use the Doctor Who Confidential Banner, it is generally considered an episode of the series due to the same production crew. 5 Minutes have been edited out.",Youtube,CJF6cjT78RU,1096,2005,2005-03-26,25,Shown,Series_1,Rose
Doctor Who Confidential – Series 1,Bringing Back the Doctor,https://ichef.bbci.co.uk/images/ic/304x171/p01g4dh9.jpg,This episode looks at the inspiration behind Christopher Eccleston's Doctor.,Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dlt/doctor-who-confidential-series-1-1-bringing-back-the-doctor,1097,2005,2005-03-26,,Shown,Series_1,Rose
Doctor Who Confidential – Series 1,"Aliens: the Good, the Bad and the Ugly",https://ichef.bbci.co.uk/images/ic/304x171/p0gqccph.jpg,"This episode celebrates the men who have made the monsters, the actors who have been inside the monsters and the doctors who have acted opposite monsters in over 40 years of rubber and robots.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dmn/doctor-who-confidential-series-1-2-aliens-the-good-the-bad-and-the-ugly,1098,2005,2005-04-02,,Shown,Series_1,The End of the World
Doctor Who Confidential – Series 1,Tardis Tales,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4q19.jpg,This episode celebrates the Doctor's ultimate mobile home - the blue police box known as the Tardis.,Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dnd/doctor-who-confidential-series-1-3-tardis-tales,1099,2005,2005-04-09,,Shown,Series_1,The Unquiet Dead
Doctor Who Confidential – Series 1,I Get a Sidekick Out of You,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4trw.jpg,"A look at the long line of feisty, sexy, screaming sidekicks who have joined hands with the Doctor for his intergalactic globe trotting. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dp6/doctor-who-confidential-series-1-4-i-get-a-sidekick-out-of-you,1100,2005,2005-04-16,,Shown,Series_1,Aliens of London
Doctor Who Confidential – Series 1,Why on Earth?,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4r5y.jpg,A look at the Doctor's affinity with the human race and his ongoing battle to save the earth. ,Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dpr/doctor-who-confidential-series-1-5-why-on-earth,1101,2005,2005-04-23,,Shown,Series_1,World War Three
Doctor Who Confidential – Series 1,The Daleks,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4r8x.jpg,"Trundling tanks of terror, armed with a sucker, a ray gun and a really bad attitude - it can only be the Daleks. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dq6/doctor-who-confidential-series-1-6-the-daleks,1102,2005,2005-04-30,,Shown,Series_1,Dalek
Doctor Who Confidential – Series 1,The Dark Side,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4yj7.jpg,Simon Pegg plays the latest incarnation of evil to face the Doctor. ,Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dr1/doctor-who-confidential-series-1-7-the-dark-side,1103,2005,2005-05-07,,Shown,Series_1,The Long Game
Doctor Who Confidential – Series 1,Time Trouble,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4x4j.jpg,"This edition looks at the trouble that time travel and messing with the past can cause, as Rose finds out to her cost. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074drr/doctor-who-confidential-series-1-8-time-trouble,1104,2005,2005-05-14,,Shown,Series_1,Father’s Day
Doctor Who Confidential – Series 1,Special Effects,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g4x59.jpg,"A look at the special effects, including Rose's suspension from a barrage balloon, a state of the art spaceship and CGI effects that put gas masks in a terrifying new light. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074ds5/doctor-who-confidential-series-1-9-special-effects,1105,2005,2005-05-21,,Shown,Series_1,The Empty Child
Doctor Who Confidential – Series 1,Weird Science,https://ichef.bbci.co.uk/images/ic/1920x1080/p01g54gg.jpg,"A look at the strange science of Doctor Who, from the fantastical nanogenes to the technical gizmos and gadgets. Not forgetting, of course, the sonic screwdriver. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dsm/doctor-who-confidential-series-1-10-weird-science,1106,2005,2005-05-28,,Shown,Series_1,The Doctor Dances
Doctor Who Confidential – Series 1,Unsung Heroes and Violent Death,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqcd1z.jpg,"With no end of spectacular and grisly deaths to enjoy, this edition is a tribute to a whole host of unsung heroes who have laid down their lives in aid of the Doctor. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dt2/doctor-who-confidential-series-1-11-unsung-heroes-and-violent-death,1107,2005,2005-06-04,,Shown,Series_1,Boom Town
Doctor Who Confidential – Series 1,The World of Who,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqcdv7.jpg,A journey from the Doctor’s ultimate fans to his ultimate foe. ,Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074dtf/doctor-who-confidential-series-1-12-the-world-of-who,1108,2005,2005-06-11,,Shown,Series_1,Bad Wolf
Doctor Who Confidential – Series 1,The Ultimate Guide – Special,https://tardis.wiki/images/Tardis_images/9/97/DWCON_The_Ultimate_Guide_title_card.jpg,"A special documentary broadcast immediately prior to The Parting of the Ways. While it didn’t use the Doctor Who Confidential Banner, it is generally considered an episode of the series due to the same production crew and narration. 6 Minutes have been edited out.",Youtube,SScr2XkMpSk,1109,2005,2005-06-18,39,Shown,Series_1,The Parting of the Ways
Doctor Who Confidential – Series 1,The Last Battle,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqcdp8.jpg,"As the series reaches its dramatic conclusion, will the doctor survive the final battle of the great time war? As a fitting tribute, the programme relives the highs and lows of his time with Rose, and sees Christopher Eccleston take his final bow. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074f4n/doctor-who-confidential-series-1-13-the-last-battle,1110,2005,2005-06-18,,Shown,Series_1,The Parting of the Ways
Doctor Who Confidential – Series 2,Backstage  at Christmas,https://tardis.wiki/images/Tardis_images/8/86/DWCON_Backstage_at_Christmas_title_card.jpg,"Released on the Series 1 DVD Boxset prior to the release of the Christmas Invasion, this is the only behind the sences documentary that the confidential production team made for this episode.",Youtube,0l04Ox0Yqhg,1111,2005,2005-11-21,9,Shown,Series_2,The Christmas Invasion
Doctor Who Confidential – Series 2,One Year On,https://tardis.wiki/images/Tardis_images/6/6f/DWCON_One_Year_On_title_card.jpg,"A special documentary broadcast 3 days before New Earth, to promote Series 2 and look back on the past year. 2 minutes have been edited out.",Youtube,yKIgUuwgPb0,1112,2006,2006-04-09,,Shown,Series_2,New Earth
Doctor Who Confidential – Series 2,New New Doctor,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqcgdt.jpg,"David Tennant has taken on the Time Lord's mantle, becoming the tenth Doctor. We learn all about his regeneration at the end of series one and follow him as he chooses his outfit in The Christmas Invasion. We then join the Doctor and Rose on their first together adventure together on New Earth and share in the waterlogged wonder of the unforgettable lift shaft sequence, where David and Billie receive a good old soaking. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074flh/doctor-who-confidential-series-2-1-new-new-doctor,1113,2006,2006-04-15,,Shown,Series_2,New Earth
Doctor Who Confidential – Series 2,Fear Factor,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqcgzf.jpg,"How state-of-the-art CGI creates one of the Doctor's hairiest and scariest monsters, plus a look at his bone-chilling fight with the Sycorax leader. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074flx/doctor-who-confidential-series-2-2-fear-factor,1114,2006,2006-04-22,,Shown,Series_2,Tooth and Claw
Doctor Who Confidential – Series 2,Friends Reunited,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqch5k.jpg,"The return of two Doctor Who favourites - Sarah Jane Smith and K9. Featuring interviews with David Tennant, Anthony Head and Elisabeth Sladen. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074fm5/doctor-who-confidential-series-2-3-friends-reunited,1115,2006,2006-04-29,,Shown,Series_2,School Reunion
Doctor Who Confidential – Series 2,Script to Screen,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqchsg.jpg,"Featuring a look at every stage of the creative path, from the words on the page to the images on the screen. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074fmk/doctor-who-confidential-series-2-4-script-to-screen,1116,2006,2006-05-06,,Shown,Series_2,The Girl in the Fireplace
Doctor Who Confidential – Series 2,Cybermen,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqd2b2.jpg,"The mean, metal monsters are back. Get an exclusive chance to see all the backstage footage of their spine-chilling comeback. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074fmy/doctor-who-confidential-series-2-5-cybermen,1117,2006,2006-05-13,,Shown,Series_2,Rise of the Cybermen
Doctor Who Confidential – Series 2,From Zero to Hero,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqd2jx.jpg,"Through backstage footage and exclusive interviews with actor Noel Clarke, we relive the journey of a lifetime through the eyes of Mickey Smith. His travels with the Doctor and his relationship with Rose have been literally out of this world. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074fnd/doctor-who-confidential-series-2-6-from-zero-to-hero,1118,2006,2006-05-20,,Shown,Series_2,The Age of Steel
Doctor Who Confidential – Series 2,The Writer–s Tale,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqd3cg.jpg,"Writer Russell T Davies unveils the secrets behind creating a 21st century Doctor Who, and Mark Gatiss explains his personal journey from the dawning to the delivery of The Idiot's Lantern. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/p0gmkc96/doctor-who-confidential-series-2-7-the-writers-tale,1119,2006,2006-05-27,,Shown,Series_2,The Idiot’s Lantern
Doctor Who Confidential – Series 2,You–ve Got the Look,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqd7qr.jpg,"With the Doctor and Rose having visited an array of different ages and eras, there's a look at the varied and contrasting locations and looks of this series - from the dark and moody moors of Tooth and Claw, to the pristine hospital of New Earth, the deadly art deco days and nights on Rise of the Cybermen, to the creepy coronation of The Idiot's Lantern. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/p0gmkg6g/doctor-who-confidential-series-2-8-youve-got-the-look,1120,2006,2006-06-03,,Shown,Series_2,The Impossible Planet
