Serial,Episode_Title,Image_URL,Description,Mode,Video_URL,,year,airdate,runtime,Visibility
An Unearthly Child,The Pilot: An Unearthly Child,https://tardis.wiki/images/Tardis_images/2/29/Pilot_Episode_title_card.jpg,Original Unbroadcast version of Part One of An Unearthly Child,None,,,1963,1963-09-27,25,Shown
An Unearthly Child,Part One: An Unearthly Child,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkmsv8.jpg,"The Doctor and Susan are first encountered by Ian and Barbara, leading to their initial journey through time and space.",None,,,1963,1963-11-23,25,Shown
An Unearthly Child,Part Two: The Cave of Skulls,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkmnhk.jpg,The group is captured by a tribe in prehistoric times struggling to make fire.,None,,,1963,1963-11-30,25,Shown
An Unearthly Child,Part Three: The Forest of Fear,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkmv9m.jpg,They attempt to escape captivity and navigate through a dangerous forest.,None,,,1963,1963-12-07,25,Shown
An Unearthly Child,Part Four: The Firemaker,https://ichef.bbci.co.uk/images/ic/1920x1080/p00vcx0q.jpg,The Doctor and his companions aid the tribe in making fire and find their way back to the TARDIS.,None,,,1963,1963-12-14,25,Shown
The Daleks,The Daleks In Colour,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gv14bc.jpg,Colourised Version of The Doctors first meeting with The Daleks - Cut-down to 75 Minutes,Iplayer,https://www.bbc.co.uk/iplayer/episode/m001snnz/doctor-who-19631996-season-1-the-daleks-in-colour,,2023,1963-12-21,25,Shown
The Daleks,Part One: The Dead Planet,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v283q.jpg,"The TARDIS lands on Skaro, the Daleks are introduced when the crew explores a deserted city.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w0ll/doctor-who-19631996-season-1-the-daleks-the-dead-planet,,1963,1963-12-28,25,Shown
The Daleks,Part Two: The Survivors,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2864.jpg,"The crew is captured by the Daleks, learning about their conflict with the Thals.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w0ln/doctor-who-19631996-season-1-the-daleks-the-survivors,,1963,1964-01-04,25,Shown
The Daleks,Part Three: The Escape,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gklp8j.jpg,The group formulates a plan to escape Dalek captivity with the help of the Thals.,Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w0lq/doctor-who-19631996-season-1-the-daleks-the-escape,,1964,1964-01-11,25,Shown
The Daleks,Part Four: The Ambush,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gq238m.jpg,"The Daleks' plan to irradiate the planet is discovered, leading to a strategic countermove.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w0pt/doctor-who-19631996-season-1-the-daleks-the-ambush,,1964,1964-01-18,25,Shown
The Daleks,Part Five: The Expedition,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gklnjc.jpg,A dangerous journey to the Dalek city begins.,Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w100/doctor-who-19631996-season-1-the-daleks-the-expedition,,1964,1964-01-25,25,Shown
The Daleks,Part Six: The Ordeal,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gklmd0.jpg,The group faces challenges as they infiltrate the Dalek city.,Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w16n/doctor-who-19631996-season-1-the-daleks-the-ordeal,,1964,1964-02-01,25,Shown
The Daleks,Part Seven: The Rescue,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkllt6.jpg,"With the Thals' help, the Doctor and his companions defeat the Daleks and return to the TARDIS.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b009w31v/doctor-who-19631996-season-1-the-daleks-the-rescue,,1964,1964-02-08,25,Shown
The Edge of Destruction,Part One: The Edge of Destruction,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkm52r.jpg,"A malfunction inside the TARDIS causes strange behaviors, leading to suspicion among the crew.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1nzw/doctor-who-19631996-season-1-the-edge-of-destruction-the-edge-of-destruction,,1964,1964-02-15,25,Shown
The Edge of Destruction,Part Two: The Brink of Disaster,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkm563.jpg,"The crew discovers the true cause of the malfunction and resolves the conflict, deepening their bond.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1p0j/doctor-who-19631996-season-1-the-edge-of-destruction-the-brink-of-disaster,,1964,1964-02-22,25,Shown
Marco Polo,Part One: The Roof of the World,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v28z7.jpg,"The TARDIS crew lands in the Himalayas in 1289, meeting Marco Polo who takes them to Kublai Khan's court.",None,,,1964,1964-02-29,25,Shown
Marco Polo,Part Two: The Singing Sands,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v292g.jpg,"The journey across the Gobi Desert presents dangers, and Marco Polo plans to give the TARDIS to Kublai Khan.",None,,,1964,1964-03-07,25,Shown
Marco Polo,Part Three: Five Hundred Eyes,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v293s.jpg,"In the city of Tun-Huang, myths of a monster with five hundred eyes lead to a plot against the Khan.",None,,,1964,1964-03-14,25,Shown
Marco Polo,Part Four: The Wall of Lies,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v296w.jpg,"The crew gets involved in court intrigues, trying to recover the TARDIS.",None,,,1964,1964-03-21,25,Shown
Marco Polo,Part Five: Rider from Shang-Tu,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2980.jpg,"Polo's caravan is attacked en route to Peking, complicating the journey.",None,,,1964,1964-03-28,25,Shown
Marco Polo,Part Six: Mighty Kublai Khan,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v298v.jpg,"The Doctor meets the Khan, engaging in a game of backgammon with high stakes.",None,,,1964,1964-04-04,25,Shown
Marco Polo,Part Seven: Assassin at Peking,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v29br.jpg,Political intrigue culminates in an assassination attempt on the Khan.,None,,,1964,1964-04-11,25,Shown
The Keys of Marinus,Part One: The Sea of Death,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v29p4.jpg,"The TARDIS lands on an island, beginning a quest for the keys to the Conscience of Marinus.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1p8t/doctor-who-19631996-season-1-the-keys-of-marinus-the-sea-of-death,,1964,1964-04-18,25,Shown
The Keys of Marinus,Part Two: The Velvet Web,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v29py.jpg,"The crew finds a city of illusions, fighting to see through the deception.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pgf/doctor-who-19631996-season-1-the-keys-of-marinus-the-velvet-web,,1964,1964-04-25,25,Shown
